Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,302.35
2,302.215
3,301.365
4,302.375
5,302.575
6,302.775
7,302.885
8,303.315
9,301.93
10,302.125
11,303.38
12,303.325
13,302.625
14,303.26
15,303.08
16,301.9
17,302.97
18,302.67
19,303.185
20,302.82
21,302.935
22,303.24
23,303.46
24,303.15
25,303.61
26,303.06
27,304
28,303.3
29,304.675
30,304.485
31,304.42
32,304.37
33,305.215
34,305.36
35,306.875
36,307.71
37,308.82
38,309.415
39,310.055
40,309.87
41,311.995
42,311.985
43,312.99
44,313.575
45,315.205
46,316.025
47,316.88
48,317.775
49,318.67
50,318.375
51,321.315
52,320.815
53,322.195
54,322.75
55,323.495
56,323.9
57,324.355
58,324.97
59,325.535
60,325.4
61,325.85
62,327.525
63,327.21
64,327.38
65,328.36
66,328.195
67,328.49
68,330.34
69,330.57
70,332.2
71,332.465
72,333.815
73,335.645
74,337.345
75,337.82
76,337.925
77,338.08
78,337.175
79,336.03
80,336.47
81,337.125
82,336.115
83,338.225
84,339.505
85,341.05
86,342.505
87,344.89
88,347.42
89,350.305
90,352.385
91,354.895
92,357.085
93,357.7
94,357.825
95,355.085
96,352.64
97,351.83
98,350.445
99,350.005
100,350.36
101,349.82
102,349.975
103,350
104,349.845
105,350.755
106,349.875
107,350.25
108,351.19
109,353.695
110,352.825
111,353.33
112,354.405
113,355.57
114,354.555
115,354.51
116,353.445
117,352.305
118,351.015
119,351.545
120,351.24
121,350.775
122,351.65
123,351.92
124,351.005
125,352.27
126,352.77
127,351.885
128,350.545
129,349.845
130,349.305
131,349.59
132,349.48
133,349.025
134,348.99
135,349.4
136,347.715
137,349.77
138,348.87
139,348.875
140,349.11
141,349.92
142,349.32
143,349.85
144,349.86
145,349.03
146,350.045
147,349.525
148,349.87
149,350.605
150,350.58
151,350.595
152,350.71
153,350.16
154,351.63
155,352.51
156,353.095
157,352.74
158,352.09
159,353.04
160,352.465
161,353.875
162,354.115
163,355.975
164,356.575
165,357.63
166,358.22
167,359.1
168,360.81
169,361.015
170,362.785
171,361.65
172,359.185
173,355.4
174,354.36
175,352.3
176,351.82
177,352.845
178,351.865
179,351.735
180,353.005
181,353.165
182,354.215
183,353.475
184,353.185
185,353.875
186,354.01
187,354.2
188,355.31
189,354.15
190,353.115
191,352.47
192,351.945
193,351.77
194,351.295
195,351.195
196,350.46
197,350.895
198,350.95
199,350.605
200,350.23
201,349.87
202,349.465
203,349.765
204,349.97
205,350.675
206,351.845
207,352.14
208,353.74
209,356.75
210,358.23
211,360.26
212,362.27
213,364.875
214,366.045
215,364.695
216,363.47
217,359.465
218,355.835
219,354.015
220,353.57
221,354.325
222,355.135
223,355.68
224,356.9
225,357.985
226,359.08
227,362.73
228,363.705
229,365.94
230,368.215
231,371.44
232,373.37
233,375.285
234,374.795
235,366.99
236,359.82
237,353.145
238,350.815
239,349.525
240,348.715
241,348.835
242,348.41
243,348.075
244,348.24
245,348.26
246,347.545
247,347.84
248,347.33
249,347.61
250,347.775
251,348.06
252,348.325
253,348.555
254,347.16
255,346.62
256,346.38
257,348.285
258,346.855
259,348
260,346.755
261,348.245
262,347.57
263,348.865
264,348.845
265,349.155
266,349.56
267,349.645
268,350.49
269,349.69
270,347.9
271,347.905
272,346.32
273,346.54
274,345.985
275,346.005
276,346.27
277,346.885
278,347.35
279,347.58
280,347.12
281,347.225
282,347.96
283,347.57
284,347.345
285,347.15
286,346.945
287,345.715
288,345.49
289,345.475
290,345.335
291,345.5
292,344.99
293,344.075
294,344.925
295,344.42
296,343.84
297,344.59
298,343.825
299,344.54
300,343.875
301,344.4
302,343.965
303,344.81
