Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,303.835
2,302.075
3,302.295
4,304.005
5,302.995
6,303.41
7,304.44
8,303.77
9,303.605
10,302.51
11,303.45
12,304.035
13,302.695
14,302.16
15,303.31
16,303.18
17,303.695
18,302.87
19,303.75
20,302.075
21,302.88
22,303.585
23,304.255
24,303.235
25,302.875
26,302.675
27,303.73
28,303.1
29,304.345
30,304.76
31,303.86
32,305.585
33,306.57
34,306.645
35,307.02
36,307.165
37,307.56
38,308.235
39,308.675
40,309.655
41,310.89
42,311.495
43,313.105
44,314.97
45,315.945
46,317.595
47,319.265
48,320.87
49,323.395
50,323.065
51,325.195
52,326.88
53,329.24
54,328.965
55,332.125
56,332.185
57,333.33
58,334.08
59,335.765
60,334.765
61,335.525
62,335.73
63,337.095
64,336.795
65,338.37
66,338.115
67,339.735
68,338.965
69,340.27
70,340.49
71,340.18
72,340.435
73,341.635
74,341.35
75,342.98
76,343.02
77,343.79
78,343.98
79,345.775
80,346.66
81,346.865
82,347.295
83,348.82
84,349.455
85,351.085
86,351.445
87,352.38
88,353.275
89,353.775
90,354.105
91,355.105
92,356.03
93,357.295
94,357.085
95,359.8
96,359.9
97,361.015
98,360.315
99,361.78
100,361.635
101,362.32
102,362.58
103,363.91
104,364.535
105,364.385
106,364.795
107,365.66
108,365.16
109,365.42
110,365.805
111,366.805
112,367.76
113,369.33
114,368.845
115,370.34
116,370.535
117,370.85
118,371.345
119,369.85
120,368.46
121,369.46
122,369.93
123,370.42
124,370.395
125,371.845
126,371.215
127,372.89
128,373.295
129,373.035
130,374.32
131,374.63
132,375.135
133,376.9
134,378.15
135,379.12
136,378.93
137,381.415
138,380.99
139,383.075
140,383.61
141,384.66
142,384.675
143,385.665
144,383.99
145,385.445
146,385.91
147,386.36
148,387.435
149,387.575
150,387.3
151,387.65
152,387.135
153,387.345
154,388.42
155,389.145
156,388.875
157,389.235
158,389.66
159,389.16
160,389.375
161,389.985
162,389.245
163,389.525
164,388.79
165,390.54
166,391.125
167,391.945
168,393.085
169,394.77
170,395.7
171,397.81
172,399.16
173,402.14
174,402.68
175,405.565
176,408.525
177,411.75
178,413.61
179,414.78
180,411.54
181,408.02
182,403.41
183,399.935
184,397.12
185,396.58
186,395.215
187,394.015
188,393.415
189,392.23
190,391.985
191,393.26
192,391.48
193,392.3
194,391.33
195,392.725
196,390.82
197,392.16
198,391.41
199,392.17
200,392.955
201,394.42
202,394.21
203,395.13
204,395.975
205,396.485
206,396.745
207,398.86
208,397.095
209,397.76
210,397.095
211,397.43
212,397.47
213,399.055
214,397.845
215,398.765
216,397.885
217,398.69
218,397.72
219,398.54
220,398.38
221,399.46
222,398.64
223,399.445
224,398.785
225,398.95
226,399.365
227,399.32
228,400.27
229,398.805
230,401.62
231,401.16
232,402.005
233,403.28
234,403.155
235,403.89
236,405.005
237,405.7
238,406.42
239,406.465
240,405.525
241,407.31
242,407.92
243,409.275
244,410.59
245,410.39
246,411.035
247,412.23
248,412.3
249,413.395
250,413.075
251,413.64
252,414.91
253,416.715
254,417.525
255,418.975
256,418.765
257,420.42
258,419.445
259,421.835
260,421.465
261,421.47
262,422.555
263,421.475
264,420.785
265,420.14
266,420.085
267,421.055
268,421.22
269,421.32
270,421.215
271,423.25
272,422.095
273,423.845
274,424.73
275,424.75
276,424.5
277,426.51
278,428.71
279,430.78
280,430.645
281,429.94
282,428.31
283,427.2
284,425.605
285,427.825
286,429.79
287,431.11
288,431.56
289,432.47
290,432.835
291,434.415
292,434.43
293,435.59
294,434.575
295,436.355
296,436.71
297,437.715
298,436.485
299,437.95
300,437.68
301,438.53
302,438.16
303,438
304,437.565
305,438.97
306,437.88
307,440.365
308,440.03
309,439.935
310,439.065
311,441.015
312,440.13
313,440.95
314,439.595
315,440.56
316,440.135
317,440.87
318,440.57
319,441.07
320,440.72
321,442.545
322,441.255
323,442.24
324,443.105
325,443.2
326,444.03
327,445.13
328,444.445
329,445.155
330,445.65
331,445.345
332,445.78
333,446.42
334,445.135
335,444.895
336,445.46
337,446.42
338,447.26
339,447.98
340,447.755
341,449.81
342,449.925
343,451.76
344,450.795
345,452.445
346,451.095
347,451.545
348,451.21
349,452.55
350,452.355
351,454.035
352,452.465
353,455.29
354,453.995
355,456.92
356,455.95
357,457.075
358,458.065
359,457.385
360,458.925
361,459.335
362,460.76
363,459.51
364,461.27
365,461.255
366,461.505
367,463.92
368,463.49
369,464.97
370,467.02
371,470.495
372,471.86
373,474.955
374,473.63
375,473.095
376,471.265
377,471.535
378,469.455
379,469.385
380,467.8
381,470.355
382,470.72
383,471.455
384,472.175
385,473.055
386,472.67
387,474.4
388,473.55
