Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,303.155
2,302.57
3,301.46
4,303.375
5,304.32
6,303.215
7,303.51
8,303.955
9,302.98
10,302.94
11,303.78
12,302.85
13,302.09
14,303.07
15,303.695
16,303.21
17,302.65
18,303.08
19,302.655
20,303.645
21,303.94
22,303.845
23,303.325
24,302.845
25,303.065
26,303.08
27,303.07
28,303.41
29,304.095
30,303.945
31,304.95
32,304.76
33,305.67
34,306.615
35,307.01
36,306.745
37,307.805
38,307.61
39,308.37
40,309.3
41,311.115
42,311.54
43,313.27
44,314.31
45,316.405
46,317.13
47,319.36
48,320.61
49,322.605
50,323.295
51,326.625
52,327.45
53,329.89
54,329.475
55,331.31
56,332.23
57,333.47
58,332.835
59,333.885
60,334.845
61,336.25
62,336.53
63,336.995
64,336.955
65,338.99
66,338.235
67,340.035
68,339.465
69,339.56
70,340.115
71,339.95
72,341.45
73,341.345
74,341.905
75,343.785
76,343.97
77,344.455
78,344.94
79,346.225
80,346.125
81,347.74
82,348.54
83,349.285
84,349.75
85,351.175
86,352.38
87,352.705
88,352.965
89,355.47
90,354.98
91,356.085
92,356.45
93,357.25
94,358.075
95,358.975
96,359.46
97,359.955
98,361.21
99,361.88
100,361.87
101,363.19
102,363.15
103,364.19
104,364.775
105,364.86
106,364.195
107,365.455
108,365.645
109,366.025
110,366.78
111,367.655
112,368.02
113,370.14
114,368.775
115,370.26
116,371.66
117,373.43
118,370.85
119,370.375
120,369.725
121,370.115
122,369.405
123,370.39
124,371.285
125,371.64
126,370.995
127,372.78
128,372.905
129,372.98
130,374.31
131,375.61
132,376.07
133,376.695
134,377.94
135,378.785
136,380.56
137,381.54
138,381.935
139,384.315
140,384.425
141,384.405
142,384.86
143,386.265
144,386.345
145,386.87
146,386.05
147,386.91
148,387.015
149,388.695
150,387.395
151,388.005
152,387.7
153,389.185
154,389.255
155,389.44
156,388.855
157,389.695
158,389.295
159,389.62
160,389.395
161,389.585
162,389.445
163,389.69
164,389.895
165,390.265
166,391.92
167,392.595
168,393.935
169,395.28
170,395.41
171,398.4
172,398
173,402.03
174,403.705
175,407.55
176,408.585
177,413.135
178,414.87
179,415.555
180,413.235
181,408.26
182,403.87
183,400.175
184,396.705
185,396.48
186,396.44
187,394.54
188,394.54
189,393.115
190,392.955
191,392.97
192,392.665
193,393.19
194,392.225
195,392.165
196,391.985
197,392.355
198,392.23
199,393.835
200,393.41
201,394
202,394.865
203,395.545
204,395.75
205,397.835
206,397.975
207,398.345
208,398.47
209,397.695
210,398.55
211,398.56
212,397.325
213,398.04
