Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,304.465
2,305.185
3,304.065
4,306.01
5,306.42
6,304.275
7,305.47
8,306.09
9,305.5
10,304.865
11,306.67
12,304.7
13,304.985
14,304.43
15,306.155
16,304.99
17,305.055
18,304.03
19,306.855
20,304.84
21,305.225
22,306.03
23,305.35
24,305.775
25,305.38
26,305.265
27,306.115
28,306.71
29,307.82
30,309.575
31,311.97
32,314.5
33,318.41
34,319.235
35,322.45
36,324.68
37,327.08
38,330.77
39,335.37
40,339.365
41,344.695
42,348.63
43,356.15
44,362.305
45,370.3
46,378.33
47,388.06
48,396.05
49,404.035
50,413.15
51,421.94
52,429.84
53,437.45
54,444.87
55,450.305
56,457.055
57,461.095
58,464.97
59,468.68
60,471.58
61,474.385
62,476.47
63,478.045
64,481.97
65,484.945
66,485.635
67,488.74
68,489.85
69,493.73
70,496.35
71,498.88
72,500.765
73,503.13
74,505.46
75,508.855
76,511.555
77,514.525
78,517.225
79,521.83
80,525.355
81,529.59
82,532.355
83,537.115
84,540.715
85,545.11
86,549.65
87,554.075
88,557.64
89,563.015
90,565.56
91,570.705
92,573.68
93,578.03
94,581.815
95,584.93
96,587.61
97,591.395
98,594.565
99,598.235
100,598.58
101,600.805
102,599.48
103,604.28
104,602.065
105,604.53
106,604.395
107,605.37
108,607.535
109,608.8
110,609.91
111,609.895
112,611.375
113,615.92
114,613.965
115,616.97
116,616.94
117,618.205
118,614.67
119,613.47
120,609.925
121,609.405
122,607.27
123,606.93
124,607.715
125,607.25
126,606.84
127,607.565
128,608.73
129,610.06
130,610.23
131,611.33
132,611.635
133,615.015
134,615.185
135,616.7
136,616.765
137,619.57
138,620.01
139,620.43
140,620.38
141,622.13
142,622.545
143,623.905
144,623.515
145,624.895
146,624.79
147,625.625
148,625.375
149,628.225
150,625.77
151,629.395
152,628.025
153,628.25
154,628.775
155,629.855
156,630.185
157,631.51
158,632.59
159,632.48
160,632.39
161,636.11
162,634.1
163,635.495
164,634.35
165,636.885
166,640.545
167,642.915
168,647.96
169,650.65
170,655.755
171,660.86
172,666.42
173,671.615
174,675.865
175,680.435
176,685.31
177,688.87
178,691.565
179,690.025
180,683.965
181,678.315
182,670.25
183,661.03
184,656.115
185,653.295
186,648.875
187,644.98
188,641.41
189,638.13
190,634.955
191,634.9
192,634.295
193,631.355
194,631.225
195,628.49
196,628.365
197,628.505
198,628.565
199,629.165
200,629.68
201,630.01
202,631.82
203,631.975
204,634.66
205,635.86
206,634.905
207,635.83
208,634.495
209,633.33
210,632.625
211,632.815
212,631.655
213,629.69
214,628.915
215,628.36
216,627.21
217,628.595
218,626.43
219,627.67
220,625.955
221,626.885
222,627.21
223,627.36
224,626.62
225,628.105
226,626.68
227,627.665
228,626.37
229,627.51
230,628.245
231,627.73
232,628.765
233,630.67
234,632.05
235,633.19
236,634.36
237,633.745
238,633.875
239,634.455
240,636.25
241,636.265
242,636.93
243,637.66
244,638.335
245,640.295
246,639.905
247,640.315
248,640.71
249,641.855
250,643.34
251,644.49
252,644.105
253,645.475
254,646.33
255,647.755
256,648.76
257,650.36
258,651.3
259,651.52
260,650.92
261,650.275
262,649.53
263,649.56
264,645.48
265,645.17
266,644.235
267,642.345
268,642.12
269,643.425
270,643.595
271,642.87
272,641.12
273,643.28
274,644.21
275,645.005
276,644.53
277,648.01
278,650.385
279,655.265
280,654.735
281,650.395
282,643.865
283,642.2
284,641.615
285,642.41
286,644.92
287,647.905
288,649.4
289,649.645
290,650.745
291,651.915
292,651.64
293,651.69
294,652.375
295,650.215
296,649.215
297,650.375
298,646.81
299,646.93
300,644.96
301,644.82
302,643.315
303,640.15
304,637.935
305,638.835
306,637.27
307,635.795
308,636.735
309,634.915
310,635.02
311,634.36
312,633.76
313,634.825
314,634.665
315,635.95
316,636.26
317,634.33
318,635.315
319,635.085
320,636.83
321,637.6
322,636.4
323,638.59
324,640.77
325,641.065
326,641.02
327,642.335
328,642.35
329,641.5
330,641.41
331,640.67
332,638.675
333,637.54
334,636.21
335,636.265
336,636.585
337,639.18
338,637.685
339,639.54
340,639.68
341,639.8
342,640.77
343,641.625
344,641.205
345,641.355
346,641.115
347,642.345
348,639.63
349,641.235
350,640.765
351,641.555
352,642.18
353,645.46
354,644.62
355,647.15
356,645.67
357,648.31
358,647.3
359,646.645
360,647.095
361,647.22
362,644.96
363,645.185
364,646.065
365,644.735
366,647.255
367,648.06
368,649.385
369,652.22
370,655.755
371,660.14
372,665
373,665.12
374,665.86
375,662.55
376,657.585
377,654.97
378,652.905
379,651.085
380,650.815
381,652.805
382,653.045
383,654.08
384,654.33
385,654.365
386,654.11
387,652.095
388,652.315
389,652.555
390,652.59
391,651.84
392,651.635
393,650.975
394,650.12
395,651.685
396,652.075
397,648.92
398,651.48
399,649.485
400,648.91
401,649.795
402,649.725
403,648.525
404,649.675
405,650.3
406,649.995
407,650.23
408,651.03
409,655.965
410,658.855
411,663.34
412,667.89
413,674.04
414,678.515
415,681.84
416,683.655
417,684.295
418,685.405
419,685.955
420,684.09
421,681.395
422,677.555
423,671.96
424,668.045
425,667.93
