Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,304.34
2,303.9
3,304.055
4,305.365
5,304.745
6,303.49
7,305.06
8,304.935
9,305.08
10,303.835
11,305.595
12,304.545
13,303.89
14,303.855
15,304.43
16,303.62
17,305.085
18,304.02
19,304.73
20,305.12
21,304.745
22,304.975
23,305.28
24,304.995
25,305.02
26,304.88
27,305.645
28,306.305
29,306.95
30,308.775
31,312.465
32,313.095
33,316.205
34,317.475
35,320.5
36,322.52
37,325.51
38,328.015
39,331.805
40,336.6
41,340.53
42,344.785
43,351.18
44,357.455
45,363.64
46,371.015
47,378.215
48,385.63
49,394.4
50,400.735
51,407.7
52,415.34
53,422.015
54,429.685
55,434.925
56,439.625
57,442.78
58,445.765
59,450.18
60,451.115
61,454.155
62,457.415
63,458.28
64,460.835
65,464.265
66,466.37
67,467.41
68,469.115
69,471.305
70,474.37
71,476.795
72,478.06
73,481.11
74,481.885
75,483.96
76,486.15
77,490.405
78,492.72
79,495.65
80,498.805
81,501.26
82,506.415
83,510.32
84,513.8
85,516.51
86,520.9
87,524.355
88,527.665
89,530.37
90,535.22
91,538.78
92,540.775
93,545.86
94,548.975
95,552.61
96,553.99
97,556.975
98,560.52
99,561.64
100,563.14
101,565.385
102,566.905
103,567.085
104,566.575
105,568.8
106,569.6
107,570.925
108,571.925
109,573.075
110,572.615
111,574.88
112,576.575
113,576.88
114,579.055
115,581.985
116,580.8
117,579.19
118,578.61
119,576.65
120,572.905
121,572.825
122,571.665
123,571.52
124,571.165
125,572.05
126,572.56
127,572.595
128,572.945
129,574.135
130,574.685
131,576.55
132,577.23
133,578.69
134,578.845
135,580.33
136,581.365
137,583.6
138,582.89
139,585.18
140,584.365
141,586.625
142,585.215
143,587.93
144,588.385
145,588.8
146,589.645
147,590.73
148,590.73
149,591.665
150,590.61
151,592.085
152,591.475
153,594.255
154,593.44
155,595.365
156,595.275
157,595.925
158,596.29
159,596.845
160,597.215
161,600.225
162,597.55
163,598.76
164,600.36
165,602.755
166,602.78
167,608.005
168,612.32
169,616.47
170,620.945
171,625.275
172,630.565
173,635.645
174,640.76
175,644.555
176,648.885
177,653.445
178,655.4
179,655.6
180,650.04
181,641.025
182,633.255
183,625.015
184,621.025
185,617.67
186,615.06
187,610.295
188,605.74
189,603.605
190,600.98
191,599.155
192,600.16
193,599.19
194,595.485
195,594.355
196,593.695
197,593.985
198,593.305
199,594.47
200,596.06
201,597.335
202,596.28
203,597.585
204,600.01
205,600.825
206,600.57
207,601.45
208,599.335
209,598.665
210,598.215
211,596.17
212,596.06
213,595.435
214,594.9
215,594.05
216,593.055
217,593.525
218,591.715
219,593.78
220,591.785
221,593.49
222,592.965
223,593.07
224,593.44
225,593.125
226,592.23
227,593.68
228,592.125
229,594.055
230,594.085
231,594.245
232,594.48
233,597.155
234,597.645
235,599.685
236,598.875
237,599.74
238,600.155
239,600.57
240,600.965
241,603.75
242,602.325
243,603.445
244,603.465
245,605.13
246,606.02
247,606.28
248,608.325
249,608.455
250,607.77
251,611.11
252,609.97
253,612.045
254,613.73
255,615.56
256,616.825
257,618.52
258,618.98
259,618.715
260,618.015
261,619.465
262,614.575
263,614.205
264,612.12
265,611.77
266,609.825
267,610.68
268,612.05
269,609.12
270,608.805
271,609.39
272,609.38
273,610.445
274,609.105
275,611.535
276,613.42
277,614.885
278,617.73
279,623.915
280,620.93
281,618.535
282,611.62
283,610.275
284,609.375
285,610.46
286,611.11
287,615.51
288,619.155
289,619.545
290,618.57
291,620.185
292,619.365
293,621.59
294,619.4
295,618.635
296,617.22
297,617.635
298,617.295
299,615.87
300,614.5
301,612.615
302,608.7
303,610.19
304,607.365
305,605.885
306,606.16
307,605.085
308,604
309,604.21
310,605.04
311,604.875
312,601.89
313,604
314,603.07
315,604.94
316,603.68
317,604.375
318,604.145
319,605.135
