Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,301.355
2,301.95
3,300.13
4,301.87
5,301.815
6,302.135
7,301.82
8,302.465
9,300.645
10,300.945
11,302.03
12,303.01
13,302.2
14,302.95
15,302.895
16,301.905
17,302.55
18,303.4
19,302.1
20,301.745
21,300.935
22,302.795
23,302.02
24,301.04
25,301.035
26,300.78
27,300.705
28,301.765
29,303.205
30,302.955
31,302.63
32,303
33,304.085
34,304.335
35,304.415
36,304.85
37,304.75
38,305.95
39,306.085
40,306.125
41,307.405
42,306.605
43,307.965
44,309.995
45,310.57
46,310.34
47,311.49
48,313.62
49,314.015
50,315.63
51,316.685
52,317.49
53,317.75
54,319.575
55,321.225
56,321.9
57,321.515
58,322.08
59,322.725
60,323.86
61,323.005
62,323.84
63,323.71
64,323.475
65,323.77
66,324.48
67,323.875
68,323.215
69,324.1
70,325.305
71,325.305
72,327.26
73,326.665
74,326.525
75,327.515
76,328.61
77,327.93
78,327.48
79,328.205
80,328.65
81,328.725
82,330.46
83,328.72
84,329.74
85,329.695
86,330.475
87,330.515
88,330.835
89,331
90,331.295
91,331.81
92,333.04
93,333.555
94,333.75
95,334.935
96,335.63
97,335.715
98,336.21
99,335.855
100,336.45
101,335.475
102,335.985
103,335.11
104,335.4
105,335.6
106,334.34
107,335
108,335.02
109,336.47
110,337.22
111,336.745
112,337.575
113,337.13
114,338.275
115,338.48
116,339.095
117,337.385
118,337.61
119,336.385
120,335.88
121,334.95
122,334.86
123,333.59
124,335.31
125,333.61
126,336.185
127,333.84
128,334.39
129,333.74
130,335.67
131,335.79
132,335.665
133,335.5
134,336.53
135,336.66
136,337.215
137,336.32
138,336.3
139,336.18
140,337.075
141,336.67
142,336.98
143,335.775
144,336.77
145,335.125
146,336.5
147,335.405
148,337.765
149,335.445
150,337.17
151,336.64
152,337.81
153,338.36
154,338.965
155,337.82
156,339.055
157,339.34
158,339.705
159,339.585
160,339.285
161,339.025
162,339.795
163,339.395
164,339.765
165,339.48
166,341.035
167,341.695
168,344.35
169,344.46
170,346.085
171,347.37
172,349.825
173,350.035
174,352.495
175,353.2
176,354.085
177,353.475
178,353.795
179,352.16
180,350.775
181,348.425
182,347.215
183,344.71
184,344.33
185,343.275
186,341.415
187,340.2
