Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,301.705
2,300.89
3,301.93
4,301.96
5,302.19
6,301.555
7,303.015
8,302.135
9,302.66
10,301.965
11,302.885
12,302.2
13,302.625
14,301.705
15,302.94
16,302.095
17,301.395
18,301.685
19,302.805
20,302.36
21,302.31
22,302.175
23,302.385
24,301.35
25,302.67
26,302.16
27,301.705
28,301.58
29,302.95
30,303.175
31,303.95
32,304.075
33,305.055
34,305.155
35,305.375
36,305.56
37,307
38,307.55
39,308.44
40,308.415
41,310.415
42,310.805
43,312.54
44,313.65
45,315.4
46,315.655
47,317.795
48,318.805
49,320.54
50,321.975
51,323.785
52,325.78
53,328.17
54,328
55,328.845
56,329.17
57,330.58
58,332.005
59,331.29
60,332.06
61,332.795
62,332.585
63,333.365
64,332.545
65,334.32
66,333.455
67,334.165
68,335.345
69,335.83
70,335.61
71,336.22
72,335.985
73,337.3
74,336.82
75,338.285
76,337.75
77,339.245
78,339.185
79,339.31
80,339.695
81,341.35
82,340.94
83,341.02
84,341.84
85,342.37
86,343.285
87,343.305
88,343.57
89,344.685
90,345.185
91,345.065
92,345.995
93,347.43
94,346.57
95,348.38
96,347.665
97,348.985
98,348.755
99,350.355
100,349.825
101,349.77
102,350.225
103,350.24
104,349.045
105,350.585
106,350.43
107,351.11
108,350.71
109,350.945
110,351.39
111,352.67
112,351.48
113,352.8
114,353.08
115,352.945
116,352.785
117,353.165
118,351.55
119,350.43
120,348.54
121,349.295
122,347.84
123,348.35
124,347.37
125,347.885
126,347.75
127,348.67
128,348.375
129,349.05
130,347.97
131,349.8
132,348.86
133,350.395
134,349.325
135,349.89
136,350.625
137,349.85
138,349.95
139,350.74
140,350.13
141,350.575
142,351.16
143,351.325
144,350.96
145,352.39
146,351.1
147,352.91
148,352.335
149,351.97
150,353.22
151,353.715
152,352.875
153,354
154,354.845
155,356.18
156,355.05
157,355.29
158,357.07
159,356.495
160,355.81
161,356.665
162,357.07
163,357.935
164,357.825
165,359.505
166,361.14
167,363.81
168,365.065
169,368.44
170,369.475
171,372.24
172,375.035
173,377.75
174,379.175
175,380.395
176,380.75
177,383.12
178,381.275
179,381.015
180,376.88
181,373.815
182,370.295
183,367.875
184,366.6
185,364.555
186,362.48
187,360.56
188,359.065
189,357.315
190,356.13
191,355.74
192,355.18
193,354.895
194,353.91
195,353.54
196,353.4
197,353.7
198,353.385
199,353.64
200,354.59
201,353.71
202,353.575
203,355.475
204,355.46
205,355.23
206,356.055
207,355.165
208,354.555
209,354.1
210,353.445
211,352.3
212,352.1
213,353.135
214,351.825
215,351.065
216,351.435
217,351.23
218,351.34
219,350.91
220,350.54
221,351.46
222,350.245
223,350.98
224,350.005
225,350.83
226,350.445
227,350.625
228,350.745
229,351.725
230,351.315
231,352.03
232,351.98
233,352.635
234,352.54
235,352.84
236,352.62
237,353.95
238,352.895
239,354.02
240,353.67
241,354.01
242,353.795
243,354.865
244,354.75
245,355.48
246,355.995
247,356.34
248,356.19
249,357.66
250,357.12
251,358.765
252,358.425
253,359.52
254,359.63
255,360.25
256,360.445
257,360.6
258,360.23
259,361.155
260,359.99
261,359.39
262,358.595
263,357.345
264,356.965
265,356.83
266,356.33
267,356.055
268,355.515
269,356.235
270,355.73
271,355.765
272,356.46
273,356.99
274,355.6
275,357.77
276,358.675
277,359.435
278,359.87
279,360.2
280,359.375
281,357.145
282,356.07
283,355.45
284,355.34
285,355.625
286,356.615
287,358.015
288,358.51
289,358.76
290,358.345
291,359.48
292,358.795
293,359.215
294,357.39
295,356.995
296,356.26
297,356.095
298,354.805
299,354.215
300,353.595
301,352.795
302,351.63
303,351.38
304,349.87
305,349.655
306,349.545
307,350.12
308,348.77
309,348.935
310,349.19
311,349.485
312,348.1
313,350.175
314,349.92
315,349.96
316,349.315
317,350.175
318,350.175
319,350.66
320,349.81
321,350.88
322,350.905
323,352.075
324,352.58
325,353.055
326,353.3
327,352.685
328,352.395
329,352.015
330,351.59
331,351.225
332,351.435
333,351.43
334,351.035
335,351.165
336,351.26
337,353.23
338,351.84
339,352.21
340,352.18
341,352.555
342,353.42
343,352.385
344,352.345
345,351.93
346,352.13
347,351.275
348,350.48
349,351.8
350,351.67
351,351.97
352,352.61
353,353.08
354,353.3
355,354.285
356,354.4
357,354.2
358,354.45
359,354.82
360,353.935
361,355.17
362,353.49
363,353.19
364,354.24
365,353.76
366,354.16
367,355.725
368,356.275
369,357.985
370,359.175
371,361.255
372,360.69
373,361.965
374,360.495
375,357.93
376,357.39
377,356.77
378,354.915
379,356.355
380,354.48
381,355.06
382,356.07
383,355.3
384,355.765
385,355.28
386,354.01
387,354.925
388,354.425
389,354.36
390,354.395
391,353.89
392,354.305
393,353.34
394,354.18
395,352.725
396,353.17
397,354.37
398,353.77
399,353.975
400,352.815
401,353.695
402,353.085
403,353.675
404,352.795
405,353.935
406,354.225
407,354.915
408,355.54
409,356.425
410,358.785
411,361.59
412,363.325
413,366.235
414,367.375
415,369.225
416,369.095
417,369.25
418,368.78
419,367.9
420,367.18
421,367.055
422,364.78
423,364.085
424,360.665
425,361.325
426,359.675
427,360.085
428,358.48
429,358.94
430,357.89
431,357.91
432,356.73
433,357.01
434,354.915
435,356.44
436,353.985
437,354.365
438,353.085
439,353.5
440,351.89
441,351.945
442,351.11
443,352.32
444,351.345
445,351.495
446,350.87
447,352.06
448,351.285
449,352.2
450,350.46
451,351.095
452,350.885
453,350.69
454,351.27
455,351.845
456,351.26
457,351.36
458,351.25
459,352.22
460,351.73
461,351.115
462,351.305
463,352.065
464,351.29
465,352.075
466,352.185
467,352.285
468,353.51
469,352.45
470,352.545
471,354
472,353.565
473,354.5
474,355.08
475,356.44
476,356.38
477,356.275
478,355.75
479,355.915
480,354
481,353.17
482,352.67
483,352.61
484,352.53
485,353.6
486,353.49
487,354.42
488,355.14
489,355.76
490,358.26
491,359.405
492,360.335
493,362.02
494,361.595
495,360.23
496,358.535
497,357.99
498,356.505
499,356.01
500,354.295
501,354.61
502,354.585
503,354.425
504,353.17
505,354.105
506,353.39
507,354.37
508,353.85
509,354.775
510,353.83
511,354.505
512,353.45
513,355.135
514,353.715
515,354.58
516,353.61
517,355.89
518,356.105
519,357.04
520,358.285
521,359.165
522,360.725
523,362.67
524,364.325
525,366.395
526,366.375
527,368.145
528,368.75
529,371.605
530,371.52
531,373.335
532,372.96
533,374.045
534,370.59
535,366.695
536,362.65
537,360.235
538,357.32
539,356.17
540,354.97
541,354.545
542,354.28
543,353.645
544,352.63
545,353
546,353.285
547,353.79
548,352.755
549,353.12
550,353.44
551,354.07
552,352.95
553,353.74
554,353.435
555,354.74
556,353.89
557,353.61
558,354.655
559,353.9
560,353.515
561,354.76
562,353.175
563,354.14
564,352.535
565,353.835
566,353.325
567,353.425
568,353.06
569,354.28
570,352.295
571,354.29
572,352.9
573,353.7
574,353.755
575,353.895
576,352.4
577,354.195
578,353.155
579,353.32
580,353.15
581,353.995
582,353.765
583,354.305
584,353.035
585,353.715
586,353.185
587,353.64
588,354.33
589,353.76
590,354.095
591,354.535
592,354.43
593,354.485
594,353.895
595,354.48
596,353.925
597,354.175
598,353.82
599,354.24
600,353
601,353.47
602,353.385
603,354.115
604,353.125
605,354.025
606,353.32
607,353.415
608,352.635
609,353.25
610,353.645
611,354.605
612,353.835
613,353.435
614,353.265
615,355.315
616,354.31
617,355.005
618,354.58
619,354.755
620,354.24
621,354.965
622,354.64
623,354.16
624,353.615
625,354.225
626,354.435
627,354.06
628,353.55
629,354.15
630,354.29
631,354.315
632,353.365
633,353.385
634,353.94
635,354.18
636,353.75
637,354.01
638,353.235
639,353.99
640,353.505
641,354.595
642,353.165
643,353.595
644,353.265
645,353.91
646,354.19
647,353.51
648,353.96
649,354.355
650,353.4
651,354.245
652,355.185
653,354.91
654,354.08
655,355.225
656,353.825
657,355.01
658,354.13
659,354.615
660,354.765
661,355.415
662,354.185
663,354.99
664,354.675
665,353.54
666,354.045
667,353.575
668,354.025
669,354.19
670,354.1
671,354.46
672,353.67
673,354.225
674,353.82
675,355.05
676,353.77
677,354.05
678,355.04
679,354.325
680,353.855
681,354.085
682,354.87
683,354.34
684,355.06
685,355.57
686,355.145
687,355.37
688,355.005
689,355.03
690,353.645
691,354.005
692,353.835
693,353.335
694,354.41
695,354.27
696,354.225
697,354.455
698,353.45
699,353.6
700,353.445
701,353.655
702,352.49
703,353.83
704,352.605
705,353.73
706,352.7
707,353.365
708,353.925
709,353.945
710,353.605
711,354.325
712,354.57
713,354.53
714,354.58
715,355.065
716,354.53
717,355.435
718,355.21
719,355.78
720,355.235
721,355.335
722,354.41
723,354.575
724,353.945
725,354.645
726,354.66
727,354.63
728,354.495
729,353.795
730,353.54
731,353.805
732,353.24
733,354.235
734,353.605
735,353.875
736,353.81
737,354.075
738,354.195
739,354.005
740,353.705
741,354.48
742,353.795
743,354.54
744,354.02
745,354.935
746,354.21
747,355.285
748,354.38
749,355.095
750,354.07
751,354.755
752,354.335
753,354.885
754,353.63
755,355.045
756,354.505
757,354.77
758,353.445
759,353.46
760,353.63
761,354.07
762,352.96
763,353.525
764,352.655
765,352.47
766,352.43
767,351.79
768,351.77
769,352.09
770,352.185
771,352.29
772,351.285
773,352.145
774,352.095
775,353.34
776,352.385
777,352.03
778,352.425
779,353.42
780,352.3
781,353.275
782,352.74
783,353.76
784,353.415
785,353.925
786,352.89
787,353.55
788,353.245
789,353.46
790,353.07
791,353.545
792,353.12
793,353.75
794,352.945
795,353.445
796,352.6
797,353.18
798,352.625
799,353.58
800,352.43
801,352.22
802,351.84
803,351.18
804,351.345
805,351.395
806,351.74
807,351.885
808,351.835
809,352.14
810,350.575
811,351.26
812,350.2
813,352.345
814,351.41
815,352.16
816,351.5
817,353.115
818,352.785
819,353.05
820,352.435
821,354.135
822,352.6
823,352.505
824,352.675
825,352.93
826,352.055
827,352.48
828,352.32
829,353.53
830,353.48
831,352.515
832,353.365
833,353.915
834,352.52
835,353.285
836,354.545
837,354.855
838,355.085
839,356.71
840,354.655
841,356.355
842,355.075
843,355.985
844,355.79
845,355.615
846,354.965
847,353.995
848,353.235
849,353.22
850,351.745
851,353.055
852,351.34
853,352.87
854,352.33
855,351.735
856,352.03
857,352.515
858,353.655
859,351.75
860,352.795
861,351.87
862,351.525
863,351.775
864,350.855
865,352.185
866,350.905
867,351.65
868,351.16
869,351.435
870,350.365
871,351.22
872,350.145
873,350.365
874,350.085
875,350.575
876,349.67
877,349.675
878,349.175
879,349.25
880,348.365
881,350.17
882,349.045
883,349.11
884,347.975
885,348.69
886,348.895
887,349.235
888,348.125
889,348.925
890,348.495
891,348.92
892,349.785
893,349.43
894,349.06
895,350.555
896,349.63
897,350.39
898,350.06
899,349.765
900,349.63
901,350.57
902,350.715
903,349.8
904,349.965
905,349.61
906,350.37
907,349.195
908,349.125
909,349.28
910,349.75
911,348.96
912,347.755
913,348.03
914,348.41
915,348.855
916,348.34
917,347.72
918,347.8
919,347.61
920,348.15
921,348.175
922,347.655
923,346.19
924,347.405
925,349.15
926,347.595
927,348.455
928,348.555
929,348.83
930,348.34
931,349.025
932,348.28
933,349.845
934,350.64
935,350.46
936,350.06
937,350.57
938,350.455
939,350.38
940,350.43
941,350.73
942,351.035
943,351.245
944,349.65
945,350.885
946,350.72
947,350.63
948,349.73
949,351.06
950,350.885
951,349.915
952,350.39
953,350.51
954,350.415
955,350.27
956,350.65
957,351.27
958,351.13
959,351.22
960,350.41
961,352.59
962,351.375
963,350.62
964,350.805
965,352.275
966,352.605
967,351.925
968,352.555
969,352.15
970,352.695
971,353.815
972,355.07
973,356.925
974,356.805
975,359.555
976,360.925
977,363.08
978,364.435
979,367.35
980,370.165
981,371.995
982,374.955
983,377.84
984,380.73
985,382.99
986,385.01
987,387.585
988,389.77
989,390.525
990,390.795
991,390.455
992,388.895
993,388.535
994,387.705
995,386.58
996,384.8
997,383.665
998,382.855
999,382.48
1000,380.875
1001,379.915
1002,378.56
1003,378.91
1004,377.715
1005,377.395
1006,377.385
1007,376.755
1008,375.515
1009,373.81
1010,372.85
1011,371.515
1012,369.85
1013,368.64
1014,366.22
1015,364.625
1016,363.965
1017,363.25
1018,361.46
1019,361.195
1020,360.17
1021,359.7
1022,358.455
1023,358.445
1024,357.7
1025,358.31
1026,356.405
1027,356.615
1028,356.07
1029,354.915
1030,354.66
1031,353.09
1032,353.195
1033,352.21
1034,350.865
1035,350.935
1036,349.055
1037,347.835
1038,346.73
1039,346.19
1040,345.93
1041,345.23
1042,344.69
1043,343.385
1044,344.515
1045,344.21
1046,344.83
1047,343.855
1048,343.85
1049,343.485
1050,344.76
1051,344.475
1052,343.895
1053,344.26
1054,343.995
1055,345.135
1056,344.23
1057,345.295
1058,344.43
1059,344.99
1060,345.43
1061,345.645
1062,345.35
1063,346.005
1064,345.06
1065,345.685
1066,343.99
1067,344.975
1068,344.57
1069,343.925
1070,343.315
1071,343.82
1072,343.445
1073,343.38
1074,342.615
1075,342.855
1076,342.24
1077,342.585
1078,342.735
1079,341.845
1080,340.21
1081,340.775
1082,340.78
1083,340.48
1084,340.585
1085,340.485
1086,340.28
1087,339.065
1088,339.275
1089,339.355
1090,338.775
1091,338.685
1092,339.52
1093,338.525
1094,339.045
1095,339.675
1096,339.53
1097,338.525
1098,339.65
1099,339.7
1100,338.575
1101,339.19
1102,339.26
1103,340.105
1104,338.99
1105,340.435
1106,339.22
1107,340.12
1108,339.62
1109,339.535
1110,340.1
1111,339.985
1112,339.19
1113,340.905
1114,339.365
1115,340.075
1116,340.165
1117,339.805
1118,340.55
1119,339.77
1120,339.215
1121,339.19
1122,339.11
1123,339.535
1124,339.205
1125,339
1126,339.305
1127,339.19
1128,338.41
1129,338.27
1130,337.365
1131,336.84
1132,337.55
1133,336.31
1134,336.665
1135,336.98
1136,337.08
1137,336.47
1138,335.92
1139,337.41
1140,336.335
1141,338.125
1142,337.12
1143,336.665
1144,336.565
1145,337.205
1146,336.63
1147,335.62
1148,337.47
1149,337.18
1150,337.92
1151,338.745
1152,338.4
1153,338.83
1154,338.055
1155,338.795
1156,338.705
1157,338.52
1158,338.025
1159,337.95
1160,337.11
1161,338.31
1162,337.17
1163,337.705
1164,336.2
1165,337.115
1166,335.755
1167,336.305
1168,334.985
1169,335.91
1170,334.98
1171,335.315
1172,334.055
1173,336.03
1174,334.585
1175,334.525
1176,333.595
1177,334.335
1178,333.74
1179,333.695
1180,334.185
1181,334.315
1182,335.1
1183,335.13
1184,334.505
1185,335.31
1186,334.82
1187,336.33
1188,336
1189,335.14
1190,335.385
1191,335.195
1192,335.44
1193,335.98
1194,335.76
1195,335.95
1196,336.53
1197,335.695
1198,335.67
1199,336.94
1200,336.725
1201,336.145
1202,336.04
1203,335.52
1204,335.99
1205,334.67
1206,334.01
1207,335
1208,334.775
1209,334.725
1210,333.425
1211,333.965
1212,334.765
1213,333.555
1214,332.985
1215,333.27
1216,332.935
1217,333.545
1218,332.03
1219,333.09
1220,332.42
1221,332.585
1222,332.67
1223,333.215
1224,333.305
1225,334.095
1226,334.345
1227,333.09
1228,334.14
1229,334.085
1230,333.125
1231,333.805
1232,334.625
1233,334.09
1234,333.425
1235,333.995
1236,334.595
1237,335.035
1238,334.615
1239,334.22
1240,333.81
1241,333.395
1242,333.615
1243,333.81
1244,333.655
1245,333.39
1246,332.75
1247,332.675
1248,332.65
1249,332.31
1250,331.415
1251,332.545
1252,330.595
1253,331.92
1254,330.27
1255,331.25
1256,331.79
1257,331.49
1258,332.09
1259,331.99
1260,331.615
1261,331.875
1262,331.56
1263,332.415
1264,331.235
1265,332.065
1266,331.3
1267,332.77
1268,331.935
1269,331.615
1270,332.48
1271,332.78
1272,332.405
1273,332.845
1274,331.905
1275,331.71
1276,332.035
1277,332.35
1278,332.56
1279,332.3
1280,331.595
1281,332.865
1282,332.16
1283,332.54
1284,331.785
1285,331.245
1286,330.63
1287,331.395
1288,331.04
1289,330.52
1290,330.31
1291,331.085
1292,330.47
1293,331.155
1294,330.12
1295,330.985
1296,330.19
1297,329.945
1298,329.99
1299,329.56
1300,330.275
1301,329.83
1302,329.495
1303,330.235
1304,330.64
1305,330.235
1306,330.215
1307,330.03
1308,329.91
1309,329.905
1310,329.73
1311,330.765
1312,329.275
1313,330.25
1314,329.57
1315,329.955
1316,329.685
1317,330.895
1318,330.54
1319,329.89
1320,329.3
1321,330.35
1322,329.315
1323,329.395
1324,328.935
1325,329.44
1326,328.895
1327,328.875
1328,328.865
1329,328.615
1330,328.185
1331,328
1332,326.935
1333,327.195
1334,328.545
1335,328.365
1336,327.69
1337,328.44
1338,327.905
1339,327.495
1340,326.92
1341,328.185
1342,328.085
1343,328.39
1344,328.175
1345,328.995
1346,328.54
1347,328.49
1348,328.895
1349,328.845
1350,329.935
1351,330.095
1352,329.055
1353,329.17
1354,329.26
1355,328.665
1356,328.46
1357,328.73
1358,327.745
1359,328.165
1360,328.375
1361,328.325
1362,328.305
1363,327.84
1364,326.525
1365,325.93
1366,326.505
1367,326.51
1368,326.565
1369,326.685
1370,325.2
1371,326.025
1372,325.815
1373,326.115
1374,326.07
1375,326.09
1376,326.22
1377,326.295
1378,326.495
1379,327.23
1380,326.545
1381,327.72
1382,327.28
