Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,301.985
2,302.46
3,301.885
4,303.215
5,304.18
6,300.96
7,302.235
8,302.26
9,303.135
10,302.175
11,303.42
12,302.995
13,301.98
14,301.56
15,302.84
16,301.2
17,301.93
18,302.085
19,304.045
20,302.79
21,302.545
22,301.94
23,302.02
24,301.53
25,302.21
26,302.685
27,302.675
28,301.45
29,302.545
30,302.47
31,302.585
32,302.515
33,304.26
34,302.885
35,303.225
36,302.375
37,303.085
38,302.035
39,304.005
40,304.205
41,304.645
42,303.84
43,304.71
44,305.29
45,304.96
46,305.22
47,306.39
48,306.905
49,306.485
50,306.285
51,306.795
52,306.1
53,307.75
54,307.995
55,308.725
56,307.92
57,309.605
58,308.075
59,308.46
60,308.35
61,308.81
62,309.19
63,309.46
64,308.89
65,308.99
66,309.13
67,309.41
68,309.15
69,310.045
70,309.605
71,310.8
72,310.845
73,311.315
74,309.59
75,311.33
76,309.895
77,311.6
78,312.705
79,311.43
80,310.525
81,311.14
82,310.355
83,311.26
84,312.24
85,312.39
86,312.485
87,312.615
88,311.2
89,312.685
90,312.44
91,313.33
92,314.65
93,315.845
94,313.995
95,314.53
96,314.07
97,314.675
98,313.4
99,315.75
100,314.805
101,314.755
102,314.275
103,315.27
104,314.39
105,313.645
106,313.78
107,315.185
108,315.255
109,315.74
110,314.18
111,314.595
112,314.29
113,315.25
114,315.695
115,317.35
116,315.24
117,316.015
118,314.875
119,315.405
120,314.875
121,315.02
122,315.46
123,315.66
124,314.945
125,314.77
126,315.61
127,315.145
128,315.085
129,315.58
130,315.725
131,316.16
132,315.72
133,314.75
134,314.2
135,316.195
136,315.345
137,316.5
138,315.85
139,316.21
140,315.39
141,316.475
142,316.19
143,315.385
144,316.795
145,317.55
146,315.62
147,316.81
148,315.815
149,315.655
150,316.115
151,317.77
152,317.095
153,316.99
154,316.615
155,317.2
156,316.24
157,316.86
158,317.545
159,317.53
160,316.915
161,316.735
162,317.075
163,316.935
164,316.345
165,317.38
166,317.135
167,319.17
168,318.445
169,317.66
170,316.86
171,319.29
172,317.655
173,319.425
174,318.71
175,318.295
176,318.575
177,318.355
178,317.6
179,318.04
180,318.335
181,318.645
182,318.25
183,318.28
184,317.365
185,316.75
186,316.52
187,317.41
188,318.135
189,318.52
190,318.38
191,318.205
192,317.645
193,317.765
194,316.645
195,317.37
196,317.475
197,317.86
198,316.46
199,317.915
200,317.265
201,317.2
202,316.395
203,318.82
204,317.785
205,317.56
206,317.305
207,317.6
208,317.17
209,318.465
210,317.47
211,319.105
212,319.31
213,319.365
214,318.815
215,319.35
216,319.805
217,318.765
218,318.26
219,319.645
220,317.955
221,318.64
222,317.225
223,317.99
224,318.295
225,318.875
226,318.735
227,318.945
228,317.96
229,319.51
230,318.04
231,318.62
232,318.26
233,319.98
234,319.475
235,320.17
236,319.455
237,318.76
238,317.91
239,318.7
240,317.995
241,318.99
242,318.535
243,318.63
244,318.44
245,318.77
246,319.565
247,319.57
248,318.87
249,320
250,318.73
251,319.43
252,319.005
253,318.77
254,319.45
255,319.805
256,319.28
257,320.665
258,319.41
259,318.86
260,319.41
261,319.89
262,319.515
263,321.24
264,319.655
265,320.275
266,319.195
267,320.495
268,319.65
269,319.895
270,319.735
271,320.19
272,319.67
273,320.285
274,318.825
275,320.12
276,319.435
277,319.41
278,320.615
279,321.12
280,319.87
281,320.265
282,318.745
283,319.72
284,319.32
285,320.555
286,321.145
287,321.39
288,320.2
289,320.325
290,319.095
291,319.965
292,320.625
293,321.42
294,321.985
295,321.435
296,319.95
297,320.65
298,320.405
299,320.885
300,321.295
301,321.17
302,321.27
303,321
304,319.93
305,321.465
306,320.54
307,320.725
308,322.195
309,321.62
310,321.5
311,321.34
312,320.645
313,321.84
314,321
315,321.705
316,321.5
317,322.335
318,320.74
319,321.55
320,320.585
321,321.335
322,321.785
323,322.31
324,321.48
325,321.125
326,321.35
327,321.54
328,321.2
329,322.645
330,322.315
331,323.07
332,322.415
333,323.4
334,322.275
335,322.67
336,321.69
337,321.6
338,322.295
339,322.585
340,321.88
341,321.635
342,321.645
343,321.385
344,322.025
345,322.52
346,322.725
347,324.105
348,321.86
349,322.615
350,324.025
351,324.56
352,324.77
353,325.485
354,325.83
355,326.39
356,326.36
357,324.455
358,324.43
359,324.135
360,323.905
361,324.81
362,324.4
363,324.27
364,323.49
365,323.14
366,323.975
367,324.695
368,325.665
369,326.19
370,325.015
371,324.535
372,323.55
373,324.94
374,324.615
375,325.145
376,323.66
377,325.55
378,323.62
379,324.37
380,326.135
381,328.05
382,328.05
383,329.54
384,328.965
385,328.835
386,327.025
387,326.585
388,325.395
389,325.8
390,324.805
391,326.1
392,324.685
393,324.855
394,323.505
395,325.865
396,325.425
397,326.955
398,325.875
399,326.96
400,325.57
401,325.565
402,325.11
403,326.485
404,325.195
405,326.38
406,324.545
407,325.35
408,324.32
409,324.75
410,324.28
411,325.685
412,325.325
413,325.86
414,326.29
415,326.285
416,325.485
417,325.865
418,325.315
419,326.68
420,327.405
421,326.715
422,325.66
423,326.915
424,325.715
425,326.205
426,326.255
427,326.065
428,326.38
429,326.345
430,326.42
431,326.285
432,325.79
433,325.87
434,326.5
435,326.15
436,327.09
437,325.57
438,324.57
439,326.025
440,325.365
441,325.285
442,326.135
443,327.26
444,326.25
445,326.64
446,326.095
447,325.635
448,326.265
449,327.04
450,326.19
451,326.225
452,326.145
453,326.25
454,324.87
455,326.4
456,326.2
457,327.285
458,327.25
459,327.835
460,327.76
461,326.485
462,327.225
463,329.38
464,329.045
465,329.94
466,328.49
467,328.885
468,327.725
469,328.31
470,327.795
471,327.715
472,328.675
473,328.85
474,327.775
475,329.43
476,328.565
477,330.55
478,329.345
479,331.49
480,332.56
481,333.21
482,332.245
483,331.815
484,331.475
485,331.96
486,330.39
487,331.29
488,329.955
489,329.825
490,330.045
491,330.96
492,330.82
493,332.385
494,332
495,332.775
496,331.84
497,331.83
498,328.66
499,330.4
500,329.275
501,329.365
502,330.595
503,329.51
504,328.37
505,327.83
506,327.855
507,327.89
508,329.005
509,328.855
510,329.135
511,328.77
512,327.86
513,328.465
514,327.78
515,327.92
516,328.185
517,329.39
518,329.15
519,329.34
520,328.28
521,328.88
522,329.165
523,329.945
524,330.23
525,329.675
526,330.535
527,330.28
528,329.84
529,330.635
530,330.075
531,331.69
532,332.095
533,331.395
534,330.465
535,330.84
536,329.595
537,330.76
538,329.685
539,330.215
540,329.955
541,330.39
542,328.48
543,329.27
544,328.825
545,329.755
546,329.46
547,331.06
548,329.695
549,329.165
550,328.95
551,329.93
552,329.485
553,330.28
554,329.955
555,330.135
556,330.22
557,329.84
558,329.17
559,330.405
560,329.87
561,330.96
562,330.225
563,330.58
564,330.045
565,329.665
566,329.235
567,330.585
568,330.475
569,331.715
570,330.925
571,331.135
572,329.365
573,330.84
574,330.015
575,330.59
576,330.97
577,330.96
578,330.21
579,331.1
580,330.28
581,331.115
582,330.115
583,331.39
584,330.455
585,331.93
586,330.98
587,330.285
588,331.32
589,331.93
590,331.5
591,332.455
592,331.295
593,332.075
594,330.73
595,331.195
596,330.625
597,331.165
598,332.365
599,331.515
600,330.55
601,331.19
602,330.235
603,331.045
604,331.145
605,331.275
606,330.585
607,331.98
608,330.375
609,331.065
610,330.265
611,331.8
612,330.935
613,331.89
614,331.07
615,331.725
616,330.545
617,331.91
618,331.115
619,332.665
620,331.925
621,332.84
622,332.92
623,332.715
624,331.055
625,331.99
626,330.865
627,332.27
628,332.66
629,333
630,332.82
631,332.245
632,332.01
633,331.705
634,331.91
635,332.415
636,332.73
637,332.505
638,331.35
639,331.525
640,331.29
641,331.67
642,331.595
643,333.745
644,331.615
645,331.57
646,330.895
647,332.215
648,331.7
649,332.69
650,332.58
651,333.535
652,333.14
653,333.165
654,332.29
655,333.19
656,332.79
657,332.895
658,332.94
659,333.94
660,332.59
661,332.77
662,331.835
663,332.9
664,332.045
665,333.3
666,332.305
667,332.39
668,332.635
669,331.9
670,332.115
671,332.625
672,332.06
673,333.175
674,331.765
675,332.455
676,333.045
677,332.82
678,333.185
679,333.08
680,332.46
681,333.845
682,332.625
683,333.04
684,332.6
685,333.66
686,333.5
687,333.36
688,333.93
689,333.53
690,333.38
691,334
692,332.275
693,332.735
694,333.715
695,333.86
696,333.425
697,333.37
698,332.32
699,333.18
700,332.465
701,332.805
702,332.71
703,334.475
704,332.36
705,332.775
706,332.46
707,332.42
708,331.955
709,333.12
710,332.89
711,334.445
712,333.205
713,333.735
714,332.565
715,332.905
716,333.19
717,333.64
718,333.88
719,333.805
720,333.865
721,333.605
722,333.13
723,333.095
724,334.87
725,334
726,334.17
727,333.335
728,333.515
729,334.1
730,332.73
731,333.665
732,333.85
733,333.8
734,333.01
735,333.15
736,333.075
737,333.605
738,333.06
739,334.445
740,333.835
741,333.445
742,333.925
743,334.125
744,333.105
745,334.005
746,334.005
747,335.64
748,334.68
749,334.27
750,333.795
751,334.44
752,334.05
753,335.045
754,333.74
755,334.995
756,335.105
757,334.92
758,334.11
759,334.665
760,333.735
761,333.815
762,334.105
763,334.42
764,333.775
765,333.315
766,331.95
767,332.62
768,332.74
769,334.485
770,333.085
771,333.045
772,332.225
773,332.63
774,332.545
775,333.35
776,332.285
777,334.155
778,332.37
779,333.355
780,332.27
781,332.84
782,332.93
783,333.455
784,333.55
785,333.55
786,334.055
787,334.12
788,333.56
789,334.02
790,333.555
791,334.19
792,334.11
793,335.795
794,333.675
795,334.47
796,332.515
797,333.24
798,334.23
799,333.835
